0.000 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.050 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.100 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.150 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.200 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.250 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.300 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.350 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.400 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.450 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.500 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.550 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.600 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.650 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 18.00000000
0.651 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 16.00000000
0.652 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 16.00000000
0.653 0.10538282	 0.89461718 0.00000000 0.00000000 0.00000000 16.00000000
0.654 0.17116744	 0.82883256 0.00000000 0.00000000 0.00000000 16.00000000
0.655 0.22387019	 0.77612981 0.00000000 0.00000000 0.00000000 16.00000000
0.656 0.25865493	 0.74134507 0.00000000 0.00000000 0.00000000 16.00000000
0.657 0.29365293	 0.70634707 0.00000000 0.00000000 0.00000000 16.00000000
0.658 0.31765476	 0.68234523 0.00000000 0.00000000 0.00000000 16.00000000
0.659 0.34658548	 0.65341452 0.00000000 0.00000000 0.00000000 16.00000000
0.660 0.36981156	 0.63018844 0.00000000 0.00000000 0.00000000 17.00000000
0.661 0.39183291	 0.60816709 0.00000000 0.00000000 0.00000000 16.00000000
0.662 0.41324272	 0.58675728 0.00000000 0.00000000 0.00000000 16.00000000
0.663 0.43237608	 0.56762392 0.00000000 0.00000000 0.00000000 16.00000000
0.664 0.45352137	 0.54647863 0.00000000 0.00000000 0.00000000 16.00000000
0.665 0.46988103	 0.53011897 0.00000000 0.00000000 0.00000000 16.00000000
0.666 0.49128929	 0.50871071 0.00000000 0.00000000 0.00000000 16.00000000
0.667 0.51114682	 0.48885318 0.00000000 0.00000000 0.00000000 16.00000000
0.668 0.52958094	 0.47041906 0.00000000 0.00000000 0.00000000 16.00000000
0.669 0.54631590	 0.45368409 0.00000000 0.00000000 0.00000000 16.00000000
0.670 0.56592684	 0.43407316 0.00000000 0.00000000 0.00000000 17.00000000
0.671 0.58387284	 0.41612716 0.00000000 0.00000000 0.00000000 16.00000000
0.672 0.60364599	 0.39635401 0.00000000 0.00000000 0.00000000 16.00000000
0.673 0.62140944	 0.37859055 0.00000000 0.00000000 0.00000000 16.00000000
0.674 0.64027302	 0.35972698 0.00000000 0.00000000 0.00000000 16.00000000
0.675 0.65986839	 0.34013161 0.00000000 0.00000000 0.00000000 16.00000000
0.676 0.67765377	 0.32234623 0.00000000 0.00000000 0.00000000 16.00000000
0.677 0.69718275	 0.30281725 0.00000000 0.00000000 0.00000000 16.00000000
0.678 0.71583689	 0.28416311 0.00000000 0.00000000 0.00000000 16.00000000
0.679 0.73446244	 0.26553756 0.00000000 0.00000000 0.00000000 16.00000000
0.680 0.74950999	 0.25049001 0.00000000 0.00000000 0.00000000 17.00000000
0.681 0.76739950	 0.23260050 0.00000000 0.00000000 0.00000000 16.00000000
0.682 0.78174283	 0.21825717 0.00000000 0.00000000 0.00000000 16.00000000
0.683 0.79911523	 0.20088477 0.00000000 0.00000000 0.00000000 16.00000000
0.684 0.81351948	 0.18648052 0.00000000 0.00000000 0.00000000 16.00000000
0.685 0.82768638	 0.17231362 0.00000000 0.00000000 0.00000000 16.00000000
0.686 0.84196338	 0.15803662 0.00000000 0.00000000 0.00000000 16.00000000
0.687 0.85182327	 0.14817674 0.00000000 0.00000000 0.00000000 16.00000000
0.688 0.86423448	 0.13576552 0.00000000 0.00000000 0.00000000 16.00000000
0.689 0.87387312	 0.12612688 0.00000000 0.00000000 0.00000000 15.00000000
0.690 0.88436173	 0.11563827 0.00000000 0.00000000 0.00000000 16.00000000
0.691 0.89175268	 0.10824732 0.00000000 0.00000000 0.00000000 15.00000000
0.692 0.90029257	 0.09970743 0.00000000 0.00000000 0.00000000 15.00000000
0.693 0.90769999	 0.09230001 0.00000000 0.00000000 0.00000000 15.00000000
0.694 0.91483005	 0.08516995 0.00000000 0.00000000 0.00000000 15.00000000
0.695 0.92101899	 0.07898101 0.00000000 0.00000000 0.00000000 15.00000000
0.696 0.92740005	 0.07259995 0.00000000 0.00000000 0.00000000 15.00000000
0.697 0.93241462	 0.06758538 0.00000000 0.00000000 0.00000000 15.00000000
0.698 0.93705471	 0.06294529 0.00000000 0.00000000 0.00000000 15.00000000
0.699 0.94204281	 0.05795719 0.00000000 0.00000000 0.00000000 15.00000000
0.700 0.94556919	 0.05443081 0.00000000 0.00000000 0.00000000 17.00000000
0.701 0.94926943	 0.05073057 0.00000000 0.00000000 0.00000000 15.00000000
0.702 0.95271108	 0.04728892 0.00000000 0.00000000 0.00000000 15.00000000
0.703 0.95574599	 0.04425402 0.00000000 0.00000000 0.00000000 15.00000000
0.704 0.95861383	 0.04138617 0.00000000 0.00000000 0.00000000 15.00000000
0.705 0.96147841	 0.03852159 0.00000000 0.00000000 0.00000000 15.00000000
0.706 0.96389940	 0.03610060 0.00000000 0.00000000 0.00000000 15.00000000
0.707 0.96569413	 0.03430587 0.00000000 0.00000000 0.00000000 15.00000000
0.708 0.96764561	 0.03235438 0.00000000 0.00000000 0.00000000 15.00000000
0.709 0.96974662	 0.03025338 0.00000000 0.00000000 0.00000000 15.00000000
0.710 0.97167739	 0.02832261 0.00000000 0.00000000 0.00000000 16.00000000
0.711 0.97312003	 0.02687997 0.00000000 0.00000000 0.00000000 15.00000000
0.712 0.97476291	 0.02523709 0.00000000 0.00000000 0.00000000 15.00000000
0.713 0.97642503	 0.02357497 0.00000000 0.00000000 0.00000000 15.00000000
0.714 0.97735741	 0.02264259 0.00000000 0.00000000 0.00000000 15.00000000
