0.000 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.050 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.100 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.150 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.200 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.250 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.300 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.350 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.400 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.450 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.500 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.550 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.600 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.650 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.700 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 2.00000000
0.710 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.720 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.730 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 13.00000000
0.731 0.13136979	 0.86863021 0.00000000 0.00000000 0.00000000 12.00000000
0.732 0.20037917	 0.79962083 0.00000000 0.00000000 0.00000000 12.00000000
0.733 0.24593229	 0.75406771 0.00000000 0.00000000 0.00000000 12.00000000
0.734 0.28451875	 0.71548125 0.00000000 0.00000000 0.00000000 12.00000000
0.735 0.30607917	 0.69392083 0.00000000 0.00000000 0.00000000 12.00000000
0.736 0.33191146	 0.66808854 0.00000000 0.00000000 0.00000000 12.00000000
0.737 0.35194479	 0.64805521 0.00000000 0.00000000 0.00000000 12.00000000
0.738 0.37215833	 0.62784167 0.00000000 0.00000000 0.00000000 12.00000000
0.739 0.39086042	 0.60913958 0.00000000 0.00000000 0.00000000 12.00000000
0.740 0.40389712	 0.59610288 0.00000000 0.00000000 0.00000000 13.00000000
0.741 0.41364167	 0.58635833 0.00000000 0.00000000 0.00000000 12.00000000
0.742 0.42096979	 0.57903021 0.00000000 0.00000000 0.00000000 12.00000000
0.743 0.43673125	 0.56326875 0.00000000 0.00000000 0.00000000 12.00000000
0.744 0.44304479	 0.55695521 0.00000000 0.00000000 0.00000000 12.00000000
0.745 0.44625417	 0.55374583 0.00000000 0.00000000 0.00000000 12.00000000
0.746 0.46141146	 0.53858854 0.00000000 0.00000000 0.00000000 12.00000000
0.747 0.46670313	 0.53329688 0.00000000 0.00000000 0.00000000 12.00000000
0.748 0.47195625	 0.52804375 0.00000000 0.00000000 0.00000000 12.00000000
0.749 0.47950313	 0.52049687 0.00000000 0.00000000 0.00000000 12.00000000
0.750 0.48399018	 0.51600982 0.00000000 0.00000000 0.00000000 14.00000000
0.751 0.48802291	 0.51197708 0.00000000 0.00000000 0.00000000 12.00000000
0.752 0.49276250	 0.50723750 0.00000000 0.00000000 0.00000000 12.00000000
0.753 0.49689167	 0.50310833 0.00000000 0.00000000 0.00000000 12.00000000
0.754 0.50263958	 0.49736042 0.00000000 0.00000000 0.00000000 12.00000000
0.755 0.50875104	 0.49124896 0.00000000 0.00000000 0.00000000 12.00000000
0.756 0.51053125	 0.48946875 0.00000000 0.00000000 0.00000000 12.00000000
0.757 0.51098229	 0.48901771 0.00000000 0.00000000 0.00000000 12.00000000
0.758 0.51231875	 0.48768125 0.00000000 0.00000000 0.00000000 12.00000000
0.759 0.51886354	 0.48113646 0.00000000 0.00000000 0.00000000 12.00000000
0.760 0.52249615	 0.47750385 0.00000000 0.00000000 0.00000000 13.00000000
0.761 0.52255312	 0.47744688 0.00000000 0.00000000 0.00000000 12.00000000
0.762 0.52571354	 0.47428646 0.00000000 0.00000000 0.00000000 12.00000000
0.763 0.52710521	 0.47289479 0.00000000 0.00000000 0.00000000 12.00000000
0.764 0.53080417	 0.46919584 0.00000000 0.00000000 0.00000000 12.00000000
0.765 0.52926979	 0.47073021 0.00000000 0.00000000 0.00000000 12.00000000
0.766 0.53384375	 0.46615625 0.00000000 0.00000000 0.00000000 12.00000000
0.767 0.53719271	 0.46280729 0.00000000 0.00000000 0.00000000 12.00000000
0.768 0.53602292	 0.46397708 0.00000000 0.00000000 0.00000000 12.00000000
0.769 0.53688854	 0.46311146 0.00000000 0.00000000 0.00000000 12.00000000
0.770 0.53964904	 0.46035096 0.00000000 0.00000000 0.00000000 13.00000000
0.771 0.53928125	 0.46071875 0.00000000 0.00000000 0.00000000 12.00000000
0.772 0.54173125	 0.45826875 0.00000000 0.00000000 0.00000000 12.00000000
0.773 0.54324167	 0.45675833 0.00000000 0.00000000 0.00000000 12.00000000
0.774 0.54354583	 0.45645417 0.00000000 0.00000000 0.00000000 12.00000000
0.775 0.54384271	 0.45615729 0.00000000 0.00000000 0.00000000 12.00000000
0.776 0.54688125	 0.45311875 0.00000000 0.00000000 0.00000000 12.00000000
0.777 0.54390833	 0.45609167 0.00000000 0.00000000 0.00000000 12.00000000
0.778 0.54725104	 0.45274896 0.00000000 0.00000000 0.00000000 12.00000000
0.779 0.54660312	 0.45339688 0.00000000 0.00000000 0.00000000 12.00000000
0.780 0.54970961	 0.45029039 0.00000000 0.00000000 0.00000000 13.00000000
0.781 0.54716562	 0.45283438 0.00000000 0.00000000 0.00000000 12.00000000
0.782 0.54986771	 0.45013229 0.00000000 0.00000000 0.00000000 12.00000000
0.783 0.55041458	 0.44958542 0.00000000 0.00000000 0.00000000 12.00000000
0.784 0.54898229	 0.45101771 0.00000000 0.00000000 0.00000000 12.00000000
0.785 0.55115833	 0.44884167 0.00000000 0.00000000 0.00000000 12.00000000
0.786 0.55172708	 0.44827292 0.00000000 0.00000000 0.00000000 12.00000000
0.787 0.55277917	 0.44722083 0.00000000 0.00000000 0.00000000 12.00000000
0.788 0.55064062	 0.44935938 0.00000000 0.00000000 0.00000000 12.00000000
0.789 0.55358229	 0.44641771 0.00000000 0.00000000 0.00000000 12.00000000
0.790 0.55367211	 0.44632789 0.00000000 0.00000000 0.00000000 13.00000000
