1.000 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 20.00000000
1.010 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.020 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.030 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.040 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.050 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.060 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.070 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.080 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.090 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.100 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 20.00000000
1.110 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.120 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.130 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.140 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.150 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.160 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.170 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.180 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.190 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.200 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 20.00000000
1.210 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.220 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.230 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.240 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.250 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.260 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.270 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.280 0.99999562	 0.00000438 0.00000000 0.00000000 0.00000000 11.00000000
1.290 0.99998578	 0.00001422 0.00000000 0.00000000 0.00000000 11.00000000
1.300 0.99987527	 0.00012473 0.00000000 0.00000000 0.00000000 20.00000000
1.310 0.99964050	 0.00035950 0.00000000 0.00000000 0.00000000 11.00000000
1.320 0.99927988	 0.00072012 0.00000000 0.00000000 0.00000000 11.00000000
1.330 0.99891049	 0.00108951 0.00000000 0.00000000 0.00000000 11.00000000
1.340 0.99835710	 0.00164290 0.00000000 0.00000000 0.00000000 11.00000000
1.350 0.99768845	 0.00231155 0.00000000 0.00000000 0.00000000 11.00000000
1.360 0.99713910	 0.00286090 0.00000000 0.00000000 0.00000000 10.00000000
1.370 0.99608765	 0.00391235 0.00000000 0.00000000 0.00000000 10.00000000
1.380 0.99512681	 0.00487319 0.00000000 0.00000000 0.00000000 10.00000000
1.390 0.99341367	 0.00658633 0.00000000 0.00000000 0.00000000 10.00000000
1.400 0.99123264	 0.00876736 0.00000000 0.00000000 0.00000000 25.00000000
1.410 0.98801057	 0.01198943 0.00000000 0.00000000 0.00000000 11.00000000
1.420 0.98352177	 0.01647823 0.00000000 0.00000000 0.00000000 13.00000000
1.430 0.97544240	 0.02455760 0.00000000 0.00000000 0.00000000 11.00000000
1.440 0.96271538	 0.03728462 0.00000000 0.00000000 0.00000000 13.00000000
1.450 0.93997151	 0.06002848 0.00000000 0.00000000 0.00000000 16.00000000
1.460 0.89782354	 0.10217646 0.00000000 0.00000000 0.00000000 13.00000000
1.470 0.82417931	 0.17582069 0.00000000 0.00000000 0.00000000 11.00000000
1.480 0.72715981	 0.27284019 0.00000000 0.00000000 0.00000000 13.00000000
1.490 0.63674945	 0.36325055 0.00000000 0.00000000 0.00000000 11.00000000
1.500 0.57636567	 0.42363433 0.00000000 0.00000000 0.00000000 27.00000000
1.510 0.53331485	 0.46668515 0.00000000 0.00000000 0.00000000 11.00000000
1.520 0.50383295	 0.49616705 0.00000000 0.00000000 0.00000000 13.00000000
1.530 0.48085458	 0.51914542 0.00000000 0.00000000 0.00000000 11.00000000
1.540 0.46316050	 0.53683950 0.00000000 0.00000000 0.00000000 13.00000000
1.550 0.44886540	 0.55113460 0.00000000 0.00000000 0.00000000 16.00000000
1.560 0.43894951	 0.56105049 0.00000000 0.00000000 0.00000000 13.00000000
1.570 0.42908907	 0.57091093 0.00000000 0.00000000 0.00000000 11.00000000
1.580 0.42248429	 0.57751571 0.00000000 0.00000000 0.00000000 13.00000000
1.590 0.41682343	 0.58317657 0.00000000 0.00000000 0.00000000 11.00000000
1.600 0.41065319	 0.58934681 0.00000000 0.00000000 0.00000000 27.00000000
1.610 0.40795651	 0.59204349 0.00000000 0.00000000 0.00000000 11.00000000
1.620 0.40271750	 0.59728250 0.00000000 0.00000000 0.00000000 13.00000000
1.630 0.39949957	 0.60050043 0.00000000 0.00000000 0.00000000 11.00000000
1.640 0.39677836	 0.60322164 0.00000000 0.00000000 0.00000000 13.00000000
1.650 0.39527121	 0.60472879 0.00000000 0.00000000 0.00000000 16.00000000
1.660 0.39249835	 0.60750165 0.00000000 0.00000000 0.00000000 13.00000000
1.670 0.39043207	 0.60956793 0.00000000 0.00000000 0.00000000 11.00000000
1.680 0.38919491	 0.61080509 0.00000000 0.00000000 0.00000000 13.00000000
1.690 0.38727000	 0.61273000 0.00000000 0.00000000 0.00000000 11.00000000
1.700 0.38531396	 0.61468604 0.00000000 0.00000000 0.00000000 27.00000000
1.710 0.38388338	 0.61611662 0.00000000 0.00000000 0.00000000 11.00000000
1.720 0.38256206	 0.61743794 0.00000000 0.00000000 0.00000000 13.00000000
1.730 0.38152024	 0.61847976 0.00000000 0.00000000 0.00000000 11.00000000
1.740 0.37954058	 0.62045942 0.00000000 0.00000000 0.00000000 13.00000000
1.750 0.37760419	 0.62239581 0.00000000 0.00000000 0.00000000 16.00000000
1.760 0.37561302	 0.62438698 0.00000000 0.00000000 0.00000000 13.00000000
1.770 0.37417467	 0.62582533 0.00000000 0.00000000 0.00000000 11.00000000
1.780 0.37218715	 0.62781285 0.00000000 0.00000000 0.00000000 13.00000000
1.790 0.37077697	 0.62922303 0.00000000 0.00000000 0.00000000 11.00000000
1.800 0.36713787	 0.63286212 0.00000000 0.00000000 0.00000000 26.00000000
1.810 0.36414712	 0.63585287 0.00000000 0.00000000 0.00000000 11.00000000
1.820 0.36065020	 0.63934980 0.00000000 0.00000000 0.00000000 13.00000000
1.830 0.35860557	 0.64139443 0.00000000 0.00000000 0.00000000 11.00000000
1.840 0.35373724	 0.64626276 0.00000000 0.00000000 0.00000000 13.00000000
1.850 0.34922208	 0.65077792 0.00000000 0.00000000 0.00000000 16.00000000
1.860 0.34514945	 0.65485055 0.00000000 0.00000000 0.00000000 13.00000000
1.870 0.33881891	 0.66118109 0.00000000 0.00000000 0.00000000 11.00000000
1.880 0.33309689	 0.66690311 0.00000000 0.00000000 0.00000000 13.00000000
1.890 0.32533889	 0.67466111 0.00000000 0.00000000 0.00000000 11.00000000
1.900 0.31747436	 0.68252564 0.00000000 0.00000000 0.00000000 27.00000000
1.910 0.30912537	 0.69087464 0.00000000 0.00000000 0.00000000 11.00000000
1.920 0.29756414	 0.70243585 0.00000000 0.00000000 0.00000000 13.00000000
