1.000 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 15.00000000
1.010 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.020 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.030 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.040 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.050 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 15.00000000
1.060 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 15.00000000
1.070 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 15.00000000
1.080 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 15.00000000
1.090 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 15.00000000
1.100 0.99797778	 0.00202222 0.00000000 0.00000000 0.00000000 18.00000000
1.110 0.99330167	 0.00669833 0.00000000 0.00000000 0.00000000 15.00000000
1.120 0.98331167	 0.01668833 0.00000000 0.00000000 0.00000000 15.00000000
1.130 0.95500268	 0.04499732 0.00000000 0.00000000 0.00000000 14.00000000
1.140 0.88896917	 0.11103083 0.00000000 0.00000000 0.00000000 15.00000000
1.150 0.80704286	 0.19295714 0.00000000 0.00000000 0.00000000 14.00000000
1.160 0.73765083	 0.26234917 0.00000000 0.00000000 0.00000000 15.00000000
1.170 0.68503125	 0.31496875 0.00000000 0.00000000 0.00000000 14.00000000
1.180 0.64197083	 0.35802917 0.00000000 0.00000000 0.00000000 15.00000000
1.190 0.60788661	 0.39211339 0.00000000 0.00000000 0.00000000 14.00000000
1.200 0.58043456	 0.41956544 0.00000000 0.00000000 0.00000000 17.00000000
1.210 0.55881607	 0.44118393 0.00000000 0.00000000 0.00000000 14.00000000
1.220 0.53854167	 0.46145833 0.00000000 0.00000000 0.00000000 15.00000000
1.230 0.52281786	 0.47718214 0.00000000 0.00000000 0.00000000 14.00000000
1.240 0.51036333	 0.48963667 0.00000000 0.00000000 0.00000000 15.00000000
1.250 0.49907946	 0.50092054 0.00000000 0.00000000 0.00000000 14.00000000
1.260 0.48995417	 0.51004583 0.00000000 0.00000000 0.00000000 15.00000000
1.270 0.47706786	 0.52293214 0.00000000 0.00000000 0.00000000 14.00000000
1.280 0.46694167	 0.53305833 0.00000000 0.00000000 0.00000000 15.00000000
1.290 0.44815268	 0.55184732 0.00000000 0.00000000 0.00000000 14.00000000
