0.000 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.050 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.100 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.150 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.200 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.250 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.300 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.350 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.400 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.450 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.500 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.550 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.600 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 2.00000000
0.610 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.620 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.630 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 1.00000000
0.640 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 13.00000000
0.641 0.00497500	 0.99502500 0.00000000 0.00000000 0.00000000 12.00000000
0.642 0.10006563	 0.89993437 0.00000000 0.00000000 0.00000000 12.00000000
0.643 0.14980833	 0.85019166 0.00000000 0.00000000 0.00000000 12.00000000
0.644 0.18742187	 0.81257813 0.00000000 0.00000000 0.00000000 12.00000000
0.645 0.20795833	 0.79204167 0.00000000 0.00000000 0.00000000 12.00000000
0.646 0.22543750	 0.77456250 0.00000000 0.00000000 0.00000000 12.00000000
0.647 0.24281250	 0.75718750 0.00000000 0.00000000 0.00000000 12.00000000
0.648 0.25649896	 0.74350104 0.00000000 0.00000000 0.00000000 12.00000000
0.649 0.27008333	 0.72991667 0.00000000 0.00000000 0.00000000 12.00000000
0.650 0.28642857	 0.71357143 0.00000000 0.00000000 0.00000000 14.00000000
0.651 0.29271458	 0.70728542 0.00000000 0.00000000 0.00000000 12.00000000
0.652 0.30503854	 0.69496146 0.00000000 0.00000000 0.00000000 12.00000000
0.653 0.31135729	 0.68864271 0.00000000 0.00000000 0.00000000 12.00000000
0.654 0.31659271	 0.68340729 0.00000000 0.00000000 0.00000000 12.00000000
0.655 0.32886250	 0.67113750 0.00000000 0.00000000 0.00000000 12.00000000
0.656 0.33076979	 0.66923021 0.00000000 0.00000000 0.00000000 12.00000000
0.657 0.33918646	 0.66081354 0.00000000 0.00000000 0.00000000 12.00000000
0.658 0.34696771	 0.65303229 0.00000000 0.00000000 0.00000000 12.00000000
0.659 0.35124583	 0.64875417 0.00000000 0.00000000 0.00000000 12.00000000
0.660 0.35665289	 0.64334712 0.00000000 0.00000000 0.00000000 13.00000000
0.661 0.35978125	 0.64021875 0.00000000 0.00000000 0.00000000 12.00000000
0.662 0.36554687	 0.63445312 0.00000000 0.00000000 0.00000000 12.00000000
0.663 0.36502812	 0.63497187 0.00000000 0.00000000 0.00000000 12.00000000
0.664 0.37353125	 0.62646875 0.00000000 0.00000000 0.00000000 12.00000000
0.665 0.37593229	 0.62406771 0.00000000 0.00000000 0.00000000 12.00000000
0.666 0.37915417	 0.62084583 0.00000000 0.00000000 0.00000000 12.00000000
0.667 0.38188229	 0.61811771 0.00000000 0.00000000 0.00000000 12.00000000
0.668 0.38393542	 0.61606458 0.00000000 0.00000000 0.00000000 12.00000000
0.669 0.38946562	 0.61053437 0.00000000 0.00000000 0.00000000 12.00000000
0.670 0.39180385	 0.60819616 0.00000000 0.00000000 0.00000000 13.00000000
0.671 0.39478646	 0.60521354 0.00000000 0.00000000 0.00000000 12.00000000
0.672 0.39417083	 0.60582917 0.00000000 0.00000000 0.00000000 12.00000000
0.673 0.39975833	 0.60024167 0.00000000 0.00000000 0.00000000 12.00000000
0.674 0.40047812	 0.59952187 0.00000000 0.00000000 0.00000000 12.00000000
0.675 0.40064688	 0.59935313 0.00000000 0.00000000 0.00000000 12.00000000
0.676 0.40330104	 0.59669896 0.00000000 0.00000000 0.00000000 12.00000000
0.677 0.40641667	 0.59358333 0.00000000 0.00000000 0.00000000 12.00000000
0.678 0.40835625	 0.59164375 0.00000000 0.00000000 0.00000000 12.00000000
0.679 0.41014375	 0.58985625 0.00000000 0.00000000 0.00000000 12.00000000
0.680 0.40714423	 0.59285577 0.00000000 0.00000000 0.00000000 13.00000000
0.681 0.40855417	 0.59144583 0.00000000 0.00000000 0.00000000 12.00000000
0.682 0.41298438	 0.58701562 0.00000000 0.00000000 0.00000000 12.00000000
0.683 0.41325521	 0.58674479 0.00000000 0.00000000 0.00000000 12.00000000
0.684 0.41322812	 0.58677188 0.00000000 0.00000000 0.00000000 12.00000000
0.685 0.41426979	 0.58573021 0.00000000 0.00000000 0.00000000 12.00000000
0.686 0.41843333	 0.58156667 0.00000000 0.00000000 0.00000000 12.00000000
0.687 0.42020000	 0.57980000 0.00000000 0.00000000 0.00000000 12.00000000
0.688 0.41811563	 0.58188437 0.00000000 0.00000000 0.00000000 12.00000000
0.689 0.42010312	 0.57989688 0.00000000 0.00000000 0.00000000 12.00000000
0.690 0.42163365	 0.57836635 0.00000000 0.00000000 0.00000000 13.00000000
0.691 0.42275104	 0.57724896 0.00000000 0.00000000 0.00000000 12.00000000
0.692 0.42233333	 0.57766667 0.00000000 0.00000000 0.00000000 12.00000000
0.693 0.42050937	 0.57949063 0.00000000 0.00000000 0.00000000 12.00000000
0.694 0.42579479	 0.57420521 0.00000000 0.00000000 0.00000000 12.00000000
0.695 0.42777396	 0.57222604 0.00000000 0.00000000 0.00000000 12.00000000
0.696 0.42884583	 0.57115417 0.00000000 0.00000000 0.00000000 12.00000000
0.697 0.42744271	 0.57255729 0.00000000 0.00000000 0.00000000 12.00000000
0.698 0.42629583	 0.57370417 0.00000000 0.00000000 0.00000000 12.00000000
0.699 0.42759062	 0.57240938 0.00000000 0.00000000 0.00000000 12.00000000
0.700 0.42730268	 0.57269732 0.00000000 0.00000000 0.00000000 14.00000000
0.701 0.42575521	 0.57424479 0.00000000 0.00000000 0.00000000 12.00000000
