1.000 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 36.00000000
1.010 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.020 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.030 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.040 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.050 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 41.00000000
1.060 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.070 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.080 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.090 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.100 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 36.00000000
1.110 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.120 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.130 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.140 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.150 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 41.00000000
1.160 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.170 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.180 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.190 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.200 0.99999653	 0.00000347 0.00000000 0.00000000 0.00000000 36.00000000
1.210 0.99981058	 0.00018942 0.00000000 0.00000000 0.00000000 13.00000000
1.220 0.99883750	 0.00116250 0.00000000 0.00000000 0.00000000 14.00000000
1.230 0.99764479	 0.00235521 0.00000000 0.00000000 0.00000000 12.00000000
1.240 0.99613942	 0.00386058 0.00000000 0.00000000 0.00000000 13.00000000
1.250 0.99437561	 0.00562439 0.00000000 0.00000000 0.00000000 41.00000000
1.260 0.99117981	 0.00882019 0.00000000 0.00000000 0.00000000 13.00000000
1.270 0.98665417	 0.01334583 0.00000000 0.00000000 0.00000000 12.00000000
1.280 0.97774808	 0.02225192 0.00000000 0.00000000 0.00000000 13.00000000
