1.000 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 14.00000000
1.010 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.020 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.030 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.040 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.050 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 16.00000000
1.060 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.070 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.080 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.090 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.100 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 25.00000000
1.110 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.120 1.00000000	 0.00000000 0.00000000 0.00000000 0.00000000 22.00000000
1.130 0.99985096	 0.00014904 0.00000000 0.00000000 0.00000000 13.00000000
1.140 0.99727045	 0.00272955 0.00000000 0.00000000 0.00000000 22.00000000
1.150 0.99449062	 0.00550938 0.00000000 0.00000000 0.00000000 16.00000000
1.160 0.98893631	 0.01106369 0.00000000 0.00000000 0.00000000 21.00000000
1.170 0.97862084	 0.02137917 0.00000000 0.00000000 0.00000000 12.00000000
1.180 0.95476488	 0.04523512 0.00000000 0.00000000 0.00000000 21.00000000
1.190 0.90704896	 0.09295104 0.00000000 0.00000000 0.00000000 12.00000000
1.200 0.83819896	 0.16180104 0.00000000 0.00000000 0.00000000 24.00000000
1.210 0.76542083	 0.23457917 0.00000000 0.00000000 0.00000000 12.00000000
1.220 0.70933750	 0.29066250 0.00000000 0.00000000 0.00000000 21.00000000
1.230 0.66277604	 0.33722396 0.00000000 0.00000000 0.00000000 12.00000000
1.240 0.62656845	 0.37343155 0.00000000 0.00000000 0.00000000 21.00000000
1.250 0.59653250	 0.40346750 0.00000000 0.00000000 0.00000000 15.00000000
1.260 0.56905179	 0.43094821 0.00000000 0.00000000 0.00000000 21.00000000
1.270 0.54493021	 0.45506979 0.00000000 0.00000000 0.00000000 12.00000000
1.280 0.52566250	 0.47433750 0.00000000 0.00000000 0.00000000 21.00000000
1.290 0.50702292	 0.49297708 0.00000000 0.00000000 0.00000000 12.00000000
1.300 0.49117448	 0.50882552 0.00000000 0.00000000 0.00000000 24.00000000
1.310 0.48077604	 0.51922396 0.00000000 0.00000000 0.00000000 12.00000000
1.320 0.46578274	 0.53421726 0.00000000 0.00000000 0.00000000 21.00000000
1.330 0.45344063	 0.54655937 0.00000000 0.00000000 0.00000000 12.00000000
1.340 0.44214524	 0.55785476 0.00000000 0.00000000 0.00000000 21.00000000
1.350 0.42830250	 0.57169750 0.00000000 0.00000000 0.00000000 15.00000000
1.360 0.41583274	 0.58416726 0.00000000 0.00000000 0.00000000 21.00000000
1.370 0.40284583	 0.59715417 0.00000000 0.00000000 0.00000000 12.00000000
1.380 0.39058274	 0.60941726 0.00000000 0.00000000 0.00000000 21.00000000
1.390 0.37899063	 0.62100937 0.00000000 0.00000000 0.00000000 12.00000000
1.400 0.36613177	 0.63386823 0.00000000 0.00000000 0.00000000 24.00000000
1.410 0.35668958	 0.64331042 0.00000000 0.00000000 0.00000000 12.00000000
1.420 0.34107857	 0.65892143 0.00000000 0.00000000 0.00000000 21.00000000
1.430 0.32613125	 0.67386875 0.00000000 0.00000000 0.00000000 12.00000000
1.440 0.30280535	 0.69719464 0.00000000 0.00000000 0.00000000 21.00000000
1.450 0.27216334	 0.72783666 0.00000000 0.00000000 0.00000000 15.00000000
1.460 0.22824762	 0.77175238 0.00000000 0.00000000 0.00000000 21.00000000
1.470 0.16268542	 0.83731458 0.00000000 0.00000000 0.00000000 12.00000000
1.475 0.09121750	 0.90878250 0.00000000 0.00000000 0.00000000 10.00000000
1.476 0.08663875	 0.91336125 0.00000000 0.00000000 0.00000000 10.00000000
1.477 0.03030250	 0.96969750 0.00000000 0.00000000 0.00000000 10.00000000
1.478 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.479 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.480 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 21.00000000
1.490 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.500 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 24.00000000
1.510 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 12.00000000
1.520 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.530 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 11.00000000
1.540 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.550 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.560 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.570 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.580 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.590 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.600 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.610 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.620 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.630 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.640 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.650 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.660 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.670 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.680 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.690 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.700 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.710 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.720 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.730 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.740 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.750 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.760 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.770 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.780 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.790 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.800 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.810 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.820 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.830 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.840 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.850 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.860 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.870 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.880 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.890 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.900 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.910 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.920 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.930 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.940 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.950 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 13.00000000
1.960 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.970 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.980 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
1.990 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 10.00000000
2.000 0.00000000	 1.00000000 0.00000000 0.00000000 0.00000000 13.00000000
